run_name,run_id,domain_name,finetune_strategy,pretrained_scheme,seed,task_type,run_state,accuracy,f1,precision,recall,auc,loss,convergence_epochs,training_time,total_parameters,trainable_parameters
CiteSeer_NC_full_finetune_s1_84,2f4wxqa2,CiteSeer_NC,full_finetune,s1,84,node_classification,finished,0.389,0.37687987165061704,0.4520834553033905,0.36698420119451775,0.6993335676201098,1.7659143209457395,200,23.177644729614254,2272523,2272523
CiteSeer_NC_full_finetune_s1_126,27qbyj86,CiteSeer_NC,full_finetune,s1,126,node_classification,finished,0.42,0.37360235387823854,0.5255910140874005,0.37265632470424226,0.701608435446758,1.7279819250106812,142,21.541147232055664,2272523,2272523
Cora_NC_full_finetune_s1_42,2bam3q1r,Cora_NC,full_finetune,s1,42,node_classification,finished,0.563,0.5688021772774821,0.6152241589260133,0.592424892441427,0.8648988241238309,1.3020609617233276,119,23.735202074050903,1691660,1691660
CiteSeer_NC_full_finetune_s2_42,a46llrlg,CiteSeer_NC,full_finetune,s2,42,node_classification,finished,0.378,0.3718411033481723,0.4863299710905569,0.3787639432095977,0.7433811140692821,1.5878753662109375,153,25.32023453712463,2272523,2272523
Cora_NC_full_finetune_s1_84,35b50wej,Cora_NC,full_finetune,s1,84,node_classification,finished,0.538,0.5578934648837391,0.6058868232506237,0.5913816272966851,0.8705285753671441,1.3781721591949463,132,27.66275191307068,1691660,1691660
CiteSeer_NC_full_finetune_s2_84,i6t79ytr,CiteSeer_NC,full_finetune,s2,84,node_classification,finished,0.412,0.3992672381839955,0.5160059013051576,0.4079891379044056,0.7341622789198983,1.59036123752594,190,20.346280336380005,2272523,2272523
Cora_NC_full_finetune_s1_126,z2naaiw1,Cora_NC,full_finetune,s1,126,node_classification,finished,0.461,0.48239655996343794,0.5624101358019638,0.5314419714354778,0.8420307110758696,1.680164813995361,163,20.123512506484985,1691660,1691660
CiteSeer_NC_full_finetune_s2_126,t1kub2ze,CiteSeer_NC,full_finetune,s2,126,node_classification,finished,0.424,0.41157029645840465,0.5062427704796467,0.41400328006389414,0.762399103536337,1.5251808166503906,152,19.35800814628601,2272523,2272523
Cora_NC_full_finetune_s2_42,ncqt8qza,Cora_NC,full_finetune,s2,42,node_classification,finished,0.488,0.518569234276043,0.61887159985669,0.5640864873247865,0.8775304688997773,1.423208475112915,126,21.534855604171753,1691660,1691660
CiteSeer_NC_full_finetune_s3_42,5meergoi,CiteSeer_NC,full_finetune,s3,42,node_classification,finished,0.394,0.37824304539578835,0.5160766768115944,0.3877961467806878,0.7232570552861476,1.6566821336746216,178,21.5653338432312,2272523,2272523
Cora_NC_full_finetune_s2_84,j0a3ky3c,Cora_NC,full_finetune,s2,84,node_classification,finished,0.488,0.5257852240977898,0.6056982215669792,0.5622549472503189,0.8719353446768243,1.445167064666748,130,23.094250202178955,1691660,1691660
CiteSeer_NC_full_finetune_s3_84,1liudcnx,CiteSeer_NC,full_finetune,s3,84,node_classification,finished,0.424,0.3941138763814922,0.5824429785388497,0.3962648778123703,0.7427399724433451,1.5867434740066528,182,21.16232109069824,2272523,2272523
Cora_NC_full_finetune_s2_126,6lh4bq6e,Cora_NC,full_finetune,s2,126,node_classification,finished,0.563,0.5753001483971623,0.6090323488900379,0.607062758344809,0.879214120781462,1.3574624061584473,128,21.348360300064087,1691660,1691660
CiteSeer_NC_full_finetune_s3_126,xbaeup5n,CiteSeer_NC,full_finetune,s3,126,node_classification,finished,0.451,0.4224259825271264,0.5672722371940035,0.4064103971947682,0.7342693018258193,1.5536967515945437,162,24.284778356552124,2272523,2272523
Cora_NC_full_finetune_s3_42,srrc79rb,Cora_NC,full_finetune,s3,42,node_classification,finished,0.542,0.5393514595619125,0.6083957555673338,0.5661285138501176,0.8707273971417717,1.3470014333724976,122,24.629631996154785,1691660,1691660
CiteSeer_NC_full_finetune_s4_42,uupzazt5,CiteSeer_NC,full_finetune,s4,42,node_classification,finished,0.357,0.35126569284439385,0.5319379170364392,0.3758241995585281,0.7263306963455182,1.6729501485824585,170,18.541402339935303,2272523,2272523
CiteSeer_NC_full_finetune_s4_84,kcutasph,CiteSeer_NC,full_finetune,s4,84,node_classification,finished,0.384,0.3899811798094304,0.5566311781213241,0.39203951447098495,0.7337899465109256,1.6030114889144895,145,19.466126441955566,2272523,2272523
Cora_NC_full_finetune_s3_84,os9curud,Cora_NC,full_finetune,s3,84,node_classification,finished,0.479,0.511789710924026,0.6121430826457097,0.5582148556187495,0.85037135691342,1.522384762763977,125,29.03963589668274,1691660,1691660
CiteSeer_NC_full_finetune_s4_126,cokmczbj,CiteSeer_NC,full_finetune,s4,126,node_classification,finished,0.404,0.39690132635255376,0.5614169314077637,0.3856798336066824,0.7415707250667843,1.5831434726715088,129,23.09533715248108,2272523,2272523
Cora_NC_full_finetune_s3_126,qgx195l9,Cora_NC,full_finetune,s3,126,node_classification,finished,0.567,0.5498448814251937,0.6945615011684545,0.531813778497693,0.8393906980261973,1.4422118663787842,93,18.10222339630127,1691660,1691660
CiteSeer_NC_full_finetune_s5_42,fvaje1si,CiteSeer_NC,full_finetune,s5,42,node_classification,finished,0.374,0.3642082904845099,0.5241494526868943,0.3704672719321572,0.7321471474313369,1.6468573808670044,154,20.16504168510437,2272523,2272523
Cora_NC_full_finetune_s4_42,w2vpber9,Cora_NC,full_finetune,s4,42,node_classification,finished,0.497,0.5355363136025705,0.6660487200727541,0.5365765844530257,0.8596383751293245,1.4040303230285645,126,21.843631267547607,1691660,1691660
CiteSeer_NC_full_finetune_s5_84,cz7r61we,CiteSeer_NC,full_finetune,s5,84,node_classification,finished,0.379,0.3926517286897924,0.5678381586698896,0.39034426138389167,0.7448414424361496,1.5822153091430664,125,19.70798897743225,2272523,2272523
Cora_NC_full_finetune_s4_84,wuqdxwmf,Cora_NC,full_finetune,s4,84,node_classification,finished,0.492,0.520687872411994,0.5759404071005342,0.5550894004200464,0.833278027783922,1.505932092666626,140,23.676262855529785,1691660,1691660
CiteSeer_NC_full_finetune_s5_126,o19i5fko,CiteSeer_NC,full_finetune,s5,126,node_classification,finished,0.445,0.4154443416611088,0.5384108482469117,0.4023821871569428,0.727375409128439,1.5633459091186523,146,22.557432413101196,2272523,2272523
Cora_NC_full_finetune_s4_126,7hvsgzfd,Cora_NC,full_finetune,s4,126,node_classification,finished,0.533,0.5714929251356281,0.6377167049218411,0.5677644460091302,0.8672285503214864,1.365698218345642,149,20.52237558364868,1691660,1691660
CiteSeer_NC_linear_probe_b1_42,g8i2tey2,CiteSeer_NC,linear_probe,b1,42,node_classification,finished,0.439,0.4093661782733513,0.4577549964000357,0.41368645019569367,0.7453936541136468,1.598069190979004,135,25.013390064239506,2272523,950278
Cora_NC_full_finetune_s5_42,v15dff0u,Cora_NC,full_finetune,s5,42,node_classification,finished,0.494,0.5199246934071831,0.6335282726214185,0.523909033630693,0.8541119473322375,1.3976807594299316,148,23.807165145874023,1691660,1691660
CiteSeer_NC_linear_probe_b1_84,zi1k7hf3,CiteSeer_NC,linear_probe,b1,84,node_classification,finished,0.411,0.4012062414521766,0.43504168701680895,0.4066537040838465,0.7234709070277865,1.6153066158294678,135,18.878293991088867,2272523,950278
Cora_NC_full_finetune_s5_84,8qu4bzgb,Cora_NC,full_finetune,s5,84,node_classification,finished,0.47,0.5083675645281446,0.6158462416983653,0.5378143791256533,0.8366302746027706,1.536154866218567,127,27.68568468093872,1691660,1691660
CiteSeer_NC_linear_probe_b1_126,juhdoy09,CiteSeer_NC,linear_probe,b1,126,node_classification,finished,0.401,0.3951228295927469,0.4211557359628882,0.39758484877614714,0.7385214981997548,1.5960981845855713,157,24.352054834365845,2272523,950278
Cora_NC_full_finetune_s5_126,cmt2wsic,Cora_NC,full_finetune,s5,126,node_classification,finished,0.544,0.5258558759708374,0.6830175132955641,0.5024247557813312,0.8392982850895114,1.4571274518966677,90,21.880731344223022,1691660,1691660
CiteSeer_NC_linear_probe_b2_42,awebx5z2,CiteSeer_NC,linear_probe,b2,42,node_classification,finished,0.421,0.3895134080933622,0.4902608745473081,0.3930422439745645,0.7391343527015725,1.543474555015564,132,25.394452571868896,2272523,950278
Cora_NC_linear_probe_b1_42,rck1nac6,Cora_NC,linear_probe,b1,42,node_classification,finished,0.483,0.4768951222161628,0.4777237584092747,0.5048613584196017,0.8128800297356388,1.6113100051879885,199,24.260265350341797,1691660,369415
CiteSeer_NC_linear_probe_b2_84,aa9yqdug,CiteSeer_NC,linear_probe,b2,84,node_classification,finished,0.383,0.3863004583740204,0.4549079266062129,0.3871734428802533,0.725703517042969,1.582992434501648,172,22.19627332687378,2272523,950278
Cora_NC_linear_probe_b1_84,n8dmbsus,Cora_NC,linear_probe,b1,84,node_classification,finished,0.493,0.48122075629376926,0.49884118960311674,0.4884097270573675,0.8144512925234532,1.584830403327942,200,21.446418285369873,1691660,369415
CiteSeer_NC_linear_probe_b2_126,3vcwfeds,CiteSeer_NC,linear_probe,b2,126,node_classification,finished,0.433,0.39514899408169174,0.5126993181111189,0.3892111804590555,0.7334624775649714,1.5448451042175293,162,23.668211698532104,2272523,950278
Cora_NC_linear_probe_b1_126,dr49gxl6,Cora_NC,linear_probe,b1,126,node_classification,finished,0.471,0.4794336283274408,0.4839009340941629,0.5241755754362717,0.8185926268202361,1.6035085916519165,176,25.73779058456421,1691660,369415
CiteSeer_NC_linear_probe_b3_42,pv64er6o,CiteSeer_NC,linear_probe,b3,42,node_classification,finished,0.324,0.3248211679314513,0.5019680357130983,0.350402520462019,0.7226479660857249,1.6376193761825562,155,27.61714005470276,2272523,950278
Cora_NC_linear_probe_b2_42,8vgq96c5,Cora_NC,linear_probe,b2,42,node_classification,finished,0.419,0.4431551921025044,0.5623560230427145,0.46396487158278177,0.8055567621186902,1.5899438858032229,163,23.452232122421265,1691660,369415
