domain,scheme,task_type,linear_performance,full_performance,absolute_difference,relative_difference_pct,better_strategy,linear_training_time,full_training_time,time_ratio,linear_epochs,full_epochs,linear_trainable_params,full_trainable_params,param_ratio,linear_perf_per_param,full_perf_per_param
Cora_NC,s2,node_classification,0.4506666666666666,0.513,0.06233333333333341,13.83136094674558,full_finetune,22.708781242370605,21.992488702138264,0.9684574644236801,175.66666666666666,128.0,369415.0,1691660.0,4.579294289620075,1.2199468529070737e-06,3.032524266105482e-07
Cora_NC,s3,node_classification,0.4633333333333334,0.5293333333333333,0.06599999999999995,14.244604316546749,full_finetune,23.13406769434611,23.92383042971293,1.0341385157941694,162.66666666666666,113.33333333333331,369415.0,1691660.0,4.579294289620075,1.2542352999562371e-06,3.129076370744318e-07
Cora_NC,s4,node_classification,0.4539999999999999,0.5073333333333333,0.0533333333333334,11.74743024963291,full_finetune,22.46311593055725,22.014089902242024,0.9800105190346988,165.33333333333334,138.33333333333334,369415.0,1691660.0,4.579294289620075,1.2289701284463271e-06,2.999026597149151e-07
Cora_NC,s5,node_classification,0.4496666666666666,0.5026666666666667,0.0530000000000001,11.786508524833234,full_finetune,21.44705526034037,24.457860390345257,1.1403831478707676,138.33333333333334,121.66666666666669,369415.0,1691660.0,4.579294289620075,1.2172398702452975e-06,2.9714402815380554e-07
Cora_NC,b4,node_classification,0.4243333333333333,0.5146666666666667,0.09033333333333343,21.288295365278895,full_finetune,24.148859818776447,25.55636183420817,1.0582844087047683,151.33333333333334,146.0,369415.0,1691660.0,4.579294289620075,1.148662976146971e-06,3.0423765216808737e-07
CiteSeer_NC,b1,node_classification,0.417,0.4533333333333333,0.03633333333333333,8.713029576338927,full_finetune,22.747912963231403,31.45009557406108,1.382548615554115,142.33333333333334,155.33333333333334,950278.0,2272523.0,2.391429665845153,4.388189561370462e-07,1.9948459634218588e-07
CiteSeer_NC,b2,node_classification,0.4123333333333334,0.4526666666666667,0.04033333333333333,9.781729991915924,full_finetune,23.752979199091595,25.606616497039795,1.0780380971334784,155.33333333333334,160.0,950278.0,2272523.0,2.391429665845153,4.339081125032184e-07,1.991912366416827e-07
CiteSeer_NC,b3,node_classification,0.3523333333333333,0.4096666666666667,0.0573333333333334,16.272469252601727,full_finetune,22.454323927561443,25.50134523709615,1.135698644027962,167.0,150.0,950278.0,2272523.0,2.391429665845153,3.70768694354003e-07,1.8026953595922537e-07
CiteSeer_NC,s1,node_classification,0.3613333333333333,0.3843333333333333,0.02300000000000002,6.365313653136538,full_finetune,21.69572655359904,22.00349672635396,1.014185750912493,178.0,161.66666666666666,950278.0,2272523.0,2.391429665845153,3.802396070763853e-07,1.6912186734010317e-07
CiteSeer_NC,s2,node_classification,0.3583333333333333,0.4046666666666667,0.04633333333333339,12.930232558139554,full_finetune,20.01737968126933,21.67484100659688,1.0828011134183797,173.33333333333334,165.0,950278.0,2272523.0,2.391429665845153,3.7708263616892454e-07,1.7806933820545124e-07
CiteSeer_NC,s3,node_classification,0.3846666666666666,0.423,0.038333333333333386,9.965337954939358,full_finetune,19.50928982098897,22.33747776349385,1.1449662170409807,147.66666666666666,174.0,950278.0,2272523.0,2.391429665845153,4.047938252455246e-07,1.8613672996928962e-07
CiteSeer_NC,s4,node_classification,0.381,0.3816666666666666,0.0006666666666665932,0.17497812773401397,full_finetune,20.069189469019573,20.36762197812398,1.0148701824538102,129.0,148.0,950278.0,2272523.0,2.391429665845153,4.0093530524751706e-07,1.679484285380903e-07
CiteSeer_NC,s5,node_classification,0.3976666666666666,0.3993333333333333,0.0016666666666667052,0.41911148365466183,full_finetune,20.931410392125446,20.81015435854594,0.9942069821713914,154.33333333333334,141.66666666666666,950278.0,2272523.0,2.391429665845153,4.184740325111879e-07,1.7572246060142552e-07
CiteSeer_NC,b4,node_classification,0.3879999999999999,0.4266666666666667,0.038666666666666794,9.96563573883165,full_finetune,25.135246117909748,24.965404510498047,0.9932428906160309,171.66666666666666,148.0,950278.0,2272523.0,2.391429665845153,4.083015706982587e-07,1.8775020832205734e-07
Cora_LP,b1,link_prediction,0.0819466991341991,0.0872198547979797,0.0052731556637806015,6.43486036593747,full_finetune,151.03681683540344,247.55428298314413,1.639032708514529,4.333333333333333,104.33333333333331,564737.0,1886982.0,3.341346502885414,1.4510595044100014e-07,4.6221879592905335e-08
Cora_LP,b2,link_prediction,0.0854640151515151,0.0836828102453102,-0.0017812049062048974,-2.084157762828114,linear_probe,147.08123429616293,167.77482748031616,1.140694992690125,1.0,1.0,564737.0,1886982.0,3.341346502885414,1.5133418768650735e-07,4.4347434286765955e-08
Cora_LP,b3,link_prediction,0.0844832251082251,0.0843394886363636,-0.00014373647186149974,-0.1701361088871427,linear_probe,145.6865950425466,184.21648828188577,1.2644710944619635,1.0,19.666666666666668,564737.0,1886982.0,3.341346502885414,1.4959746768535637e-07,4.469543887348348e-08
Cora_LP,s1,link_prediction,0.0769469246031746,0.0769553796897546,8.455086580011484e-06,0.010988205992137408,full_finetune,196.6226449807485,171.65294218063354,0.8730069834908397,61.66666666666666,5.333333333333333,564737.0,1886982.0,3.341346502885414,1.3625267089490258e-07,4.078225425030795e-08
