,mean,std,min,max,count,positive_domains,success_rate
b2,-0.41391050490187364,5.426744082192831,-7.624345549738229,6.306306306306326,6.0,2,33.3
b3,-4.260113811423093,8.027892893465479,-14.354066985645922,7.172481092949476,6.0,1,16.7
s1,-2.6453688411891565,15.871054715438865,-18.181818181818176,26.126126126126163,6.0,2,33.3
s2,-2.7922473907684306,7.290351167420031,-12.332439678284189,9.174493778970442,6.0,1,16.7
s3,-2.5836916467721216,3.9873838489828506,-7.6555023923444905,1.298334959746189,6.0,2,33.3
s4,-5.90091104987604,4.481851945791117,-12.370739180390657,0.4520919736520318,6.0,1,16.7
s5,-5.962534784466552,3.004706026199167,-9.909909909909898,-1.680287875091574,6.0,0,0.0
b4,-3.846736190897065,3.3711465462829673,-7.820680628272261,0.0,6.0,0,0.0
