domain_name,finetune_strategy,pretrained_scheme,task_type,num_seeds,seeds_present,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_median,accuracy_sem,accuracy_count,f1_mean,f1_std,f1_min,f1_max,f1_median,f1_sem,f1_count,precision_mean,precision_std,precision_min,precision_max,precision_median,precision_sem,precision_count,recall_mean,recall_std,recall_min,recall_max,recall_median,recall_sem,recall_count,auc_mean,auc_std,auc_min,auc_max,auc_median,auc_sem,auc_count,loss_mean,loss_std,loss_min,loss_max,loss_median,loss_sem,loss_count,convergence_epochs_mean,convergence_epochs_std,convergence_epochs_min,convergence_epochs_max,convergence_epochs_median,convergence_epochs_sem,convergence_epochs_count,training_time_mean,training_time_std,training_time_min,training_time_max,training_time_median,training_time_sem,training_time_count,total_parameters_mean,total_parameters_std,total_parameters_min,total_parameters_max,total_parameters_median,total_parameters_sem,total_parameters_count,trainable_parameters_mean,trainable_parameters_std,trainable_parameters_min,trainable_parameters_max,trainable_parameters_median,trainable_parameters_sem,trainable_parameters_count
CiteSeer_LP,full_finetune,b1,link_prediction,3,"[42, 84, 126]",0.5884615384615385,0.015414022130885205,0.5736263736263736,0.6043956043956044,0.5873626373626374,0.008899289826561423,3,0.5164148695275138,0.006833984815298234,0.5085785251395887,0.5211374846536362,0.5195285987893168,0.0039456029727502505,3,0.5069891799943514,0.0017204879862692717,0.5057620640229336,0.5089557785209959,0.5062496974391247,0.0009933242020100813,3,0.5368002889129649,0.01736574895231981,0.5169014084507042,0.5488933601609658,0.5446060981272249,0.010026119832301304,3,0.09331092266600051,0.003420940733357681,0.08998878561517555,0.0968227719895622,0.09312121039326378,0.001975081053285813,3,2.8390392565465237,0.9194927338656878,1.7781230402516794,3.4056840215410507,3.3333107078468407,0.5308693774152597,3,37.333333333333336,23.028967265887832,15,61,36.0,13.295780450119421,3,188.46131682395935,21.2387777321832,166.09938406944275,208.3625843524933,190.921982049942,12.2622140409346,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3
CiteSeer_LP,full_finetune,b2,link_prediction,3,"[42, 84, 126]",0.5518315018315019,0.02916404292946967,0.5236263736263737,0.5818681318681319,0.55,0.016837868035987115,3,0.24607268008336167,0.2422470017565603,0.05199687531953458,0.5175655805707969,0.16865558435975345,0.13986137167452983,3,0.5433550576407719,0.033397931941134336,0.5047904476475905,0.5626373626373626,0.5626373626373626,0.01928230499659071,3,0.2231646287984316,0.27927952265922923,0.0272635814889336,0.5429577464788733,0.099272558427488,0.16124210758645618,3,0.09419721206229731,0.003995315398854152,0.09153110294696656,0.0987908557960448,0.09226967744388057,0.002306696421025902,3,2.3611729944145288,2.767046332095685,0.7621488970059614,5.556282433310708,0.7650876529269166,1.5975549446956103,3,87.33333333333333,149.53371972011308,1,260,1.0,86.33333333333334,3,202.63994908332825,88.26509676910037,151.57517862319946,304.5596318244934,151.78503680229187,50.959877379688464,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3
CiteSeer_LP,full_finetune,b3,link_prediction,3,"[42, 84, 126]",0.5727106227106227,0.013236323417695733,0.5637362637362637,0.5879120879120879,0.5664835164835165,0.00764199488828758,3,0.5181226599911924,0.00028899638907783193,0.5177999440787707,0.5183575689011862,0.5182104669936205,0.0001668521430289161,3,0.5053400512284589,0.0017287447989218605,0.5039794248304886,0.5072853072853073,0.5047554215695809,0.0009980912750177017,3,0.5422947944074704,0.0037970673462163463,0.5385544033431358,0.5461461074137131,0.5421838724655625,0.0021922378544691457,3,0.09045799764850915,0.00521357745999887,0.0865956874852353,0.0963883164031422,0.08838998905714993,0.0030100603499713134,3,3.378740429790902,0.5703585979434682,2.7786903255588404,3.9138480941017906,3.443682869712075,0.3292966900572789,3,56.666666666666664,11.372481406154654,44,66,60.0,6.5659052011974035,3,211.3435701529185,9.995121735127553,199.87316274642944,218.18546891212463,215.97207880020144,5.770686224358972,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3
CiteSeer_LP,full_finetune,b4,link_prediction,3,"[42, 84, 126]",0.5785714285714286,0.0021978021978022455,0.5763736263736263,0.5807692307692308,0.5785714285714286,0.0012689016905266777,3,0.5131648525367066,0.008406882741810789,0.5062932695307195,0.5225387992817284,0.5106624887976717,0.004853716014030078,3,0.5082253696503524,0.0010768958803664334,0.5072449674219586,0.5093780006401365,0.5080531408889618,0.0006217461264187594,3,0.52719651240778,0.019702459015081587,0.5119486147655161,0.5494428107104163,0.5201981117474075,0.011375220016054923,3,0.09172081521970328,0.002803280134133565,0.08899822687813792,0.0945983593870918,0.09156585939388016,0.001618474540055944,3,3.5889140129089356,1.8105029025074888,2.023168472667317,5.571474841400817,3.1720987246586727,1.0452943381312976,3,43.333333333333336,36.08785575970583,22,85,23.0,20.83533323734255,3,194.74640186627707,33.28293014518411,173.8504078388214,233.12773942947388,177.2610583305359,19.215908678741556,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3
CiteSeer_LP,full_finetune,s1,link_prediction,3,"[42, 84, 126]",0.5148351648351648,0.016327096657256738,0.49615384615384617,0.5263736263736264,0.521978021978022,0.009426453650152216,3,0.5134850595797623,0.0023951815162429205,0.5107193488137909,0.5148731556682524,0.5148626742572435,0.0013828586931608662,3,0.5017308337647572,0.00212730670268238,0.499282535646172,0.50312764158918,0.5027823240589198,0.0012282010974425674,3,0.5389258628695247,0.0019562488094488845,0.5366893669710571,0.540318836093484,0.5397693855440334,0.0011294407767371984,3,0.08135325674243392,0.0085946036606915,0.07303198407720275,0.09019732429665714,0.08083046185344185,0.004962096737078381,3,5.53359421356257,3.2795514624224196,1.747687573485322,7.501653985662775,7.351441081539615,1.893449919650815,3,89.66666666666667,78.6468901694996,1,151,117.0,45.40680321028753,3,236.0917043685913,76.86334320187508,149.10439133644104,294.8457362651825,264.3249855041504,44.37707188841717,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3
CiteSeer_LP,full_finetune,s2,link_prediction,3,"[42, 84, 126]",0.547985347985348,0.02036923187587836,0.5247252747252747,0.5626373626373626,0.5565934065934066,0.011760181506724279,3,0.5173635237142322,0.0008204889868601891,0.5165014941717226,0.5181349514382949,0.5174541255326792,0.00047370953743085356,3,0.5045626870708595,0.0022151835778481555,0.5020280532475655,0.506127933202169,0.505532074762844,0.001278936834975071,3,0.5441340349791055,0.0028622983440709142,0.5412010524686581,0.5469199814270237,0.5442810710416345,0.0016525487194503626,3,0.09550781974799766,0.006709325533501045,0.09017125696147192,0.10303983143123246,0.09331237085128856,0.003873630902847658,3,3.833625606215481,2.1829625917758135,2.491646247905689,6.352490884131128,2.6567396866096247,1.2603340399926493,3,118.0,143.1467778191322,27,283,44.0,82.64583070750353,3,222.52111570040384,66.17931575961288,175.6177077293396,298.21987295150757,193.7257664203644,38.20864576859774,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3
CiteSeer_LP,full_finetune,s3,link_prediction,3,"[42, 84, 126]",0.5173992673992673,0.01633941899611058,0.5,0.5324175824175824,0.5197802197802198,0.00943356795580653,3,0.5181375246641563,0.0040403121560611795,0.5142921639484093,0.5223480037550389,0.5177724062890208,0.0023326753109120394,3,0.5014021755100594,0.0012843409208674495,0.5,0.5025215448451963,0.5016849816849817,0.0007415145763940738,3,0.5505442913893618,0.01094748485304868,0.5413093948305217,0.5626373626373626,0.5476861167002012,0.0063205333268570064,3,0.08942978609398179,0.0037845454145803963,0.08644362802998833,0.09368600265560977,0.08815972759634731,0.002185008313868356,3,3.9326279316193014,2.82082036720547,0.6893489871706281,5.814812621441516,5.293722186245761,1.6286013983416572,3,109.66666666666667,94.2991693141214,1,170,158.0,54.44365078786609,3,244.2547946770986,84.6424559691651,146.51974272727966,293.6122877597809,292.63235354423523,48.86834473866852,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3
CiteSeer_LP,full_finetune,s4,link_prediction,3,"[42, 84, 126]",0.584981684981685,0.0408420801897915,0.5571428571428572,0.6318681318681318,0.5659340659340659,0.023580185991840405,3,0.36349660654565624,0.1844409346758713,0.15828743545161858,0.5154505128406096,0.41675187134474045,0.10648702328470049,3,0.5197707333045679,0.014407189689314662,0.5046462309620204,0.5333333333333333,0.52133263561835,0.008317994845391821,3,0.3271578187071145,0.2235127439693943,0.09299644017953876,0.5382293762575453,0.3502476396842594,0.1290451428980417,3,0.09217409721486818,0.0011999471392484136,0.09094893246116374,0.0933471272982022,0.09222623188523855,0.000692789803858393,3,2.4473317160711185,3.100436121540149,0.6402807509506142,6.027352902129456,0.6743614951332847,1.7900376293764442,3,65.0,110.85125168440814,1,193,1.0,64.0,3,196.829199552536,85.72053599501547,147.1780731678009,295.8105752468109,147.49895024299622,49.490774531801186,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3
CiteSeer_LP,full_finetune,s5,link_prediction,3,"[42, 84, 126]",0.5573260073260072,0.055342882119529556,0.5126373626373626,0.6192307692307693,0.5401098901098901,0.03195222788944012,3,0.27437894909548405,0.24453580694283014,0.02818734278535375,0.5172246191148153,0.2777248853862831,0.14118281396494534,3,0.5315687472910318,0.029483343198789293,0.5039794248304886,0.5626373626373626,0.5280894544052439,0.01702221613243112,3,0.24906877160398289,0.2698242974663247,0.014510137749574367,0.5439483052159109,0.1887478718464634,0.15578313077608422,3,0.08900546780457826,0.004961180976791749,0.08329382502844326,0.09224361010869536,0.09147896827659616,0.002864339172449167,3,1.886080320239504,2.091257645677192,0.6443799033269777,4.3005284760024525,0.7133325813890814,1.2073881646765898,3,29.666666666666668,49.652123150307816,1,87,1.0,28.666666666666668,3,176.68097734451294,50.078973785528895,147.12894320487976,234.5024538040161,148.41153502464294,28.91310899581532,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3
CiteSeer_LP,linear_probe,b1,link_prediction,3,"[42, 84, 126]",0.5963369963369963,0.027996828475767146,0.5719780219780219,0.6269230769230769,0.5901098901098901,0.016163976456939944,3,0.5010143585181859,0.005080944803469647,0.4969308382464942,0.5067043575084541,0.4994078797996091,0.002933484850020831,3,0.5114464119645467,0.002462702118709766,0.5098901098901099,0.5142857142857142,0.5101634117178159,0.0014218417311709453,3,0.4986534592168395,0.007169394569010533,0.4918356291595728,0.5061290821854202,0.49799566630552544,0.0041392518843448725,3,0.09664464519913,0.003957647165988232,0.09253035079573256,0.10042440880098404,0.09697917600067342,0.002284948656640865,3,1.3956149628747514,0.3029525316625079,1.0920596877297202,1.697961131819002,1.396824069075532,0.17490972570702756,3,40.333333333333336,50.89531740085067,8,99,14.0,29.38442520187258,3,166.17271955808005,42.6313338434231,138.71003651618958,215.28458404541016,144.52353811264038,24.61321207041313,3,2468102.0,0.0,2468102,2468102,2468102.0,0.0,3,1145857.0,0.0,1145857,1145857,1145857.0,0.0,3
