scheme,n_significant,mean_effect_size,std_effect_size,total_tests,significance_rate
b2,0,-0.21148690599494743,1.1291654004827216,12,0.0
b3,0,-0.7615694241022734,1.906575595597696,12,0.0
b4,0,-0.8851167128461378,1.093666192702824,12,0.0
s1,0,-0.6124439569394332,1.9048945708263785,12,0.0
s2,0,-0.4005585526102533,1.4781515833270236,12,0.0
s3,0,-0.5776706307040723,1.0590515689209814,12,0.0
s4,0,-1.1060654215039796,1.0422126714729292,12,0.0
s5,0,-1.1647489228452825,1.1823281025063395,12,0.0
