domain,strategy,best_scheme,improvement_percent,baseline_value,best_value
CiteSeer_LP,full_finetune,s2,2.3543836232985673,0.0933109226660005,0.0955078197479976
CiteSeer_LP,linear_probe,b3,17.049524237656396,0.09664464519913,0.1131220974067527
CiteSeer_NC,full_finetune,b2,-0.1470588235293956,0.4533333333333333,0.4526666666666667
CiteSeer_NC,linear_probe,b2,-1.1191047162270016,0.417,0.4123333333333334
Cora_LP,full_finetune,b4,-0.17449187320250228,0.0872198547979797,0.0870676632395382
Cora_LP,linear_probe,b2,4.292199752373075,0.0819466991341991,0.0854640151515151
Cora_NC,full_finetune,b3,-0.5593536357986537,0.5363333333333334,0.5333333333333333
Cora_NC,linear_probe,s1,4.630269523151368,0.4823333333333333,0.5046666666666667
ENZYMES,full_finetune,b4,-0.8333333333333304,0.6666666666666666,0.6611111111111111
ENZYMES,linear_probe,b2,-5.61797752808989,0.4944444444444444,0.4666666666666666
PTC_MR,full_finetune,s1,35.84905660377361,0.5047619047619047,0.6857142857142858
PTC_MR,linear_probe,s1,17.241379310344847,0.5523809523809523,0.6476190476190476
