domain,strategy,scheme,task_type,baseline_value,pretrained_value,improvement_percent,primary_metric
Cora_NC,linear_probe,s2,node_classification,0.4823333333333333,0.4506666666666666,-6.565307532826541,accuracy
Cora_NC,linear_probe,s3,node_classification,0.4823333333333333,0.4633333333333334,-3.939184519695903,accuracy
Cora_NC,linear_probe,s4,node_classification,0.4823333333333333,0.4539999999999999,-5.8742225293711225,accuracy
Cora_NC,linear_probe,s5,node_classification,0.4823333333333333,0.4496666666666666,-6.772633033863168,accuracy
Cora_NC,linear_probe,b4,node_classification,0.4823333333333333,0.4243333333333333,-12.024879060124395,accuracy
ENZYMES,full_finetune,b2,graph_classification,0.6666666666666666,0.6333333333333333,-4.999999999999999,accuracy
ENZYMES,full_finetune,b3,graph_classification,0.6666666666666666,0.6333333333333333,-4.999999999999999,accuracy
ENZYMES,full_finetune,s1,graph_classification,0.6666666666666666,0.5722222222222223,-14.16666666666665,accuracy
ENZYMES,full_finetune,s2,graph_classification,0.6666666666666666,0.6277777777777778,-5.8333333333333295,accuracy
ENZYMES,full_finetune,s3,graph_classification,0.6666666666666666,0.6277777777777778,-5.8333333333333295,accuracy
ENZYMES,full_finetune,s4,graph_classification,0.6666666666666666,0.6222222222222222,-6.66666666666666,accuracy
ENZYMES,full_finetune,s5,graph_classification,0.6666666666666666,0.6499999999999999,-2.500000000000008,accuracy
ENZYMES,full_finetune,b4,graph_classification,0.6666666666666666,0.6611111111111111,-0.8333333333333304,accuracy
ENZYMES,linear_probe,b2,graph_classification,0.4944444444444444,0.4666666666666666,-5.61797752808989,accuracy
ENZYMES,linear_probe,b3,graph_classification,0.4944444444444444,0.3611111111111111,-26.966292134831455,accuracy
ENZYMES,linear_probe,s1,graph_classification,0.4944444444444444,0.3777777777777777,-23.595505617977537,accuracy
ENZYMES,linear_probe,s2,graph_classification,0.4944444444444444,0.4555555555555555,-7.8651685393258495,accuracy
ENZYMES,linear_probe,s3,graph_classification,0.4944444444444444,0.4444444444444445,-10.112359550561784,accuracy
ENZYMES,linear_probe,s4,graph_classification,0.4944444444444444,0.4444444444444445,-10.112359550561784,accuracy
ENZYMES,linear_probe,s5,graph_classification,0.4944444444444444,0.4666666666666666,-5.61797752808989,accuracy
ENZYMES,linear_probe,b4,graph_classification,0.4944444444444444,0.4277777777777778,-13.483146067415715,accuracy
PTC_MR,full_finetune,b2,graph_classification,0.5047619047619047,0.5619047619047618,11.320754716981114,accuracy
PTC_MR,full_finetune,b3,graph_classification,0.5047619047619047,0.5428571428571428,7.54716981132075,accuracy
PTC_MR,full_finetune,s1,graph_classification,0.5047619047619047,0.6857142857142858,35.84905660377361,accuracy
PTC_MR,full_finetune,s2,graph_classification,0.5047619047619047,0.5238095238095237,3.773584905660364,accuracy
PTC_MR,full_finetune,s3,graph_classification,0.5047619047619047,0.5523809523809523,9.433962264150932,accuracy
