domain,task_type,b2,b3,s1,s2,s3,s4,s5,b4
ENZYMES,graph_classification,-5.263157894736843,-14.354066985645922,-18.181818181818176,-6.698564593301431,-7.6555023923444905,-8.13397129186602,-3.827751196172255,-6.220095693779883
PTC_MR,graph_classification,6.306306306306326,-1.8018018018017958,26.126126126126163,0.0,0.9009009009008979,-7.207207207207193,-9.909909909909898,0.0
Cora_NC,node_classification,-7.624345549738229,-3.9267015706806534,0.6544502617800979,-5.399214659685879,-2.552356020942421,-5.628272251308934,-6.511780104712065,-7.820680628272261
CiteSeer_NC,node_classification,-0.6127920337035454,-12.447338184603595,-14.324013787820764,-12.332439678284189,-7.200306396016863,-12.370739180390657,-8.425890463423979,-6.3960168517809235
Cora_LP,link_prediction,-0.011662196158106907,-0.20325541875607211,-9.023207770354668,-1.4977591923095321,-0.29322093197604226,-2.517368342135467,-5.419589157489544,-0.49980840677736044
CiteSeer_LP,link_prediction,4.722188338619157,7.172481092949476,-1.1237496950475903,9.174493778970442,1.298334959746189,0.4520919736520318,-1.680287875091574,-2.143815564771963
