domain,strategy,scheme,task_count,task_type,tasks,baseline_performance,scheme_performance,improvement_pct,mean_std,mean_sem
ENZYMES,linear_probe,b2,1,single,node_feat_mask,0.4944444444444444,0.4666666666666666,-5.61797752808989,0.0833333333333333,0.0481125224324688
ENZYMES,linear_probe,b3,1,single,node_contrast,0.4944444444444444,0.3611111111111111,-26.966292134831455,0.0346944333244355,0.0200308404192443
ENZYMES,linear_probe,s1,2,generative,"node_feat_mask, link_pred",0.4944444444444444,0.3777777777777777,-23.595505617977537,0.1018350154434631,0.0587944735792131
ENZYMES,linear_probe,s2,2,contrastive,"node_contrast, graph_contrast",0.4944444444444444,0.4555555555555555,-7.8651685393258495,0.0585314097380707,0.0337931251683234
ENZYMES,linear_probe,s3,4,combined,"node_feat_mask, link_pred, node_contrast, graph_contrast",0.4944444444444444,0.4444444444444445,-10.112359550561784,0.0509175077217315,0.0293972367896065
ENZYMES,linear_probe,s4,5,cross_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.4944444444444444,0.4444444444444445,-10.112359550561784,0.0346944333244355,0.0200308404192443
ENZYMES,linear_probe,s5,6,full_adv,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop, domain_adv",0.4944444444444444,0.4666666666666666,-5.61797752808989,0.0166666666666666,0.0096225044864937
ENZYMES,linear_probe,b4,5,single_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.4944444444444444,0.4277777777777778,-13.483146067415715,0.041943524640393,0.0242161052418926
ENZYMES,full_finetune,b2,1,single,node_feat_mask,0.6666666666666666,0.6333333333333333,-4.999999999999999,0.0333333333333333,0.0192450089729875
ENZYMES,full_finetune,b3,1,single,node_contrast,0.6666666666666666,0.6333333333333333,-4.999999999999999,0.0166666666666666,0.0096225044864937
ENZYMES,full_finetune,s1,2,generative,"node_feat_mask, link_pred",0.6666666666666666,0.5722222222222223,-14.16666666666665,0.0192450089729875,0.0111111111111111
ENZYMES,full_finetune,s2,2,contrastive,"node_contrast, graph_contrast",0.6666666666666666,0.6277777777777778,-5.8333333333333295,0.038490017945975,0.0222222222222222
ENZYMES,full_finetune,s3,4,combined,"node_feat_mask, link_pred, node_contrast, graph_contrast",0.6666666666666666,0.6277777777777778,-5.8333333333333295,0.038490017945975,0.0222222222222222
ENZYMES,full_finetune,s4,5,cross_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.6666666666666666,0.6222222222222222,-6.66666666666666,0.0192450089729875,0.0111111111111111
ENZYMES,full_finetune,s5,6,full_adv,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop, domain_adv",0.6666666666666666,0.6499999999999999,-2.500000000000008,0.0166666666666666,0.0096225044864937
