domain,task_type,scheme,strategy,performance,performance_metric,training_time_minutes,performance_per_minute,convergence_epochs,performance_per_epoch,trainable_parameters,performance_per_param,total_parameters,performance_per_total_param
CiteSeer_LP,link_prediction,b1,full_finetune,0.0933109226660005,auc,3.1410219470659886,0.02970718582630781,37.333333333333336,0.0024993997142678703,2468102.0,0.03780675298913922,2468102.0,0.03780675298913922
CiteSeer_LP,link_prediction,b2,full_finetune,0.0941972120622973,auc,3.3773324847221375,0.027891009395258626,87.33333333333333,0.001078594031247679,2468102.0,0.038165850545195175,2468102.0,0.038165850545195175
CiteSeer_LP,link_prediction,b3,full_finetune,0.0904579976485091,auc,3.5223928358819747,0.02568083739185191,56.66666666666666,0.0015963176055619256,2468102.0,0.03665083438549505,2468102.0,0.03665083438549505
CiteSeer_LP,link_prediction,b4,full_finetune,0.0917208152197032,auc,3.245773364437951,0.028258539620983635,43.333333333333336,0.002116634197377766,2468102.0,0.03716248972680351,2468102.0,0.03716248972680351
CiteSeer_LP,link_prediction,s1,full_finetune,0.0813532567424339,auc,3.934861739476522,0.020674997529457492,89.66666666666667,0.0009072853911795602,2468102.0,0.03296186978594641,2468102.0,0.03296186978594641
CiteSeer_LP,link_prediction,s2,full_finetune,0.0955078197479976,auc,3.708685261673397,0.02575247372296658,118.0,0.0008093883029491322,2468102.0,0.03869686899001646,2468102.0,0.03869686899001646
CiteSeer_LP,link_prediction,s3,full_finetune,0.0894297860939817,auc,4.07091324461831,0.021967991141104915,109.66666666666669,0.0008154691741092554,2468102.0,0.036234234279613114,2468102.0,0.036234234279613114
CiteSeer_LP,link_prediction,s4,full_finetune,0.0921740972148681,auc,3.2804866592089335,0.0280976900046578,65.0,0.001418063034074894,2468102.0,0.03734614582981907,2468102.0,0.03734614582981907
CiteSeer_LP,link_prediction,s5,full_finetune,0.0890054678045782,auc,2.9446829557418823,0.030225823676883475,29.666666666666668,0.0030001843080194896,2468102.0,0.03606231339084778,2468102.0,0.03606231339084778
CiteSeer_LP,link_prediction,b1,linear_probe,0.09664464519913,auc,2.769545325968001,0.03489549143426679,40.333333333333336,0.002396148228077603,1145857.0,0.08434267556870535,2468102.0,0.039157476149336616
CiteSeer_LP,link_prediction,b2,linear_probe,0.1047284154771182,auc,3.7780797455045914,0.02772001189274286,196.66666666666663,0.0005325173668328045,1145857.0,0.0913974566434714,2468102.0,0.0424327744465659
CiteSeer_LP,link_prediction,b3,linear_probe,0.1131220974067527,auc,4.4697549237145315,0.02530834449257546,242.0,0.0004674466834989781,1145857.0,0.09872270048247968,2468102.0,0.045833639536272286
CiteSeer_LP,link_prediction,b4,linear_probe,0.0941624556153837,auc,2.276530272430844,0.041362268165596794,5.0,0.01883249112307674,1145857.0,0.08217644576538233,2468102.0,0.03815176828809494
CiteSeer_LP,link_prediction,s1,linear_probe,0.1064676860080863,auc,4.487026736471388,0.023727892045460112,259.6666666666667,0.00041001676254718726,1145857.0,0.09291533411942879,2468102.0,0.04313747406229009
CiteSeer_LP,link_prediction,s2,linear_probe,0.1118752098737273,auc,4.45206991566552,0.025128807946180595,282.0,0.0003967206023891039,1145857.0,0.09763453020204729,2468102.0,0.045328438562801415
CiteSeer_LP,link_prediction,s3,linear_probe,0.1029920413167262,auc,3.7384469813770718,0.027549418737186068,194.66666666666663,0.0005290687053941415,1145857.0,0.08988210685689943,2468102.0,0.04172924835226672
CiteSeer_LP,link_prediction,s4,linear_probe,0.0986402445260858,auc,3.766720208856795,0.026187303292171855,190.66666666666663,0.0005173439398221284,1145857.0,0.08608425355527419,2468102.0,0.03996603241117498
CiteSeer_LP,link_prediction,s5,linear_probe,0.0977582996856532,auc,3.8150674965646534,0.02562426478002851,191.66666666666663,0.0005100433027077558,1145857.0,0.08531457213740737,2468102.0,0.03960869513725656
CiteSeer_NC,node_classification,b1,full_finetune,0.4533333333333333,accuracy,0.5241682595676846,0.864862236616972,155.33333333333334,0.0029184549356223175,2272523.0,0.19948459634218588,2272523.0,0.19948459634218588
CiteSeer_NC,node_classification,b2,full_finetune,0.4526666666666667,accuracy,0.42677694161732993,1.0606633642183763,160.0,0.002829166666666667,2272523.0,0.1991912366416827,2272523.0,0.1991912366416827
CiteSeer_NC,node_classification,b3,full_finetune,0.4096666666666667,accuracy,0.42502242061826917,0.9638707202098542,150.0,0.0027311111111111112,2272523.0,0.18026953595922535,2272523.0,0.18026953595922535
CiteSeer_NC,node_classification,b4,full_finetune,0.4266666666666667,accuracy,0.41609007517496743,1.0254189948829031,148.0,0.002882882882882883,2272523.0,0.18775020832205733,2272523.0,0.18775020832205733
CiteSeer_NC,node_classification,s1,full_finetune,0.3843333333333333,accuracy,0.3667249454392326,1.0480152444307023,161.66666666666666,0.002377319587628866,2272523.0,0.16912186734010318,2272523.0,0.16912186734010318
CiteSeer_NC,node_classification,s2,full_finetune,0.4046666666666667,accuracy,0.36124735010994796,1.1201927613960456,165.0,0.0024525252525252525,2272523.0,0.17806933820545123,2272523.0,0.17806933820545123
CiteSeer_NC,node_classification,s3,full_finetune,0.423,accuracy,0.37229129605823086,1.1362070627991196,174.0,0.0024310344827586207,2272523.0,0.18613672996928962,2272523.0,0.18613672996928962
CiteSeer_NC,node_classification,s4,full_finetune,0.3816666666666666,accuracy,0.3394603663020664,1.1243335144670268,148.0,0.0025788288288288285,2272523.0,0.1679484285380903,2272523.0,0.1679484285380903
